,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
8,10/25/2024,20:30,Bundesliga,Matchweek 8,Fri,Away,D,1,1,Mainz 05,0.7,1.7,48,33000,Julian Weigl,4-2-3-1,3/4/2003,Martin Petersen,Match Report,,9,5,18.3,1,0,0,2025,Monchengladbach
10,11/3/2024,17:30,Bundesliga,Matchweek 9,Sun,Home,W,4,1,Werder Bremen,2.5,1.4,47,54042,Julian Weigl,4-2-3-1,3/4/2003,Bastian Dankert,Match Report,,16,7,14.5,0,0,0,2025,Monchengladbach
11,11/9/2024,18:30,Bundesliga,Matchweek 10,Sat,Away,D,0,0,RB Leipzig,0.9,1,39,46887,Julian Weigl,4-2-3-1,3/4/2003,Christian Dingert,Match Report,,14,4,19.2,0,0,0,2025,Monchengladbach
12,11/24/2024,17:30,Bundesliga,Matchweek 11,Sun,Home,W,2,0,St. Pauli,2.3,1.1,48,54042,Julian Weigl,4-2-3-1,3/4/2003,Robin Braun,Match Report,,15,3,14.6,0,0,0,2025,Monchengladbach
13,11/30/2024,15:30,Bundesliga,Matchweek 12,Sat,Away,L,1,3,Freiburg,1.5,1.6,52,34700,Julian Weigl,4-2-3-1,4-2-3-1,Robert Hartmann,Match Report,,15,3,17.1,0,0,0,2025,Monchengladbach
14,12/7/2024,18:30,Bundesliga,Matchweek 13,Sat,Home,D,1,1,Dortmund,1.1,1.5,40,54042,Julian Weigl,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,8,2,22.2,1,1,1,2025,Monchengladbach
15,12/14/2024,15:30,Bundesliga,Matchweek 14,Sat,Home,W,4,1,Holstein Kiel,2.4,0.6,56,52210,Tim Kleindienst,4-2-3-1,3/5/2002,Daniel Schlager,Match Report,,17,6,13.4,0,0,0,2025,Monchengladbach
16,12/21/2024,15:30,Bundesliga,Matchweek 15,Sat,Away,W,2,1,Hoffenheim,0.7,3.5,35,28923,Julian Weigl,4-2-3-1,4/4/2002,Bastian Dankert,Match Report,,5,3,11.5,0,0,0,2025,Monchengladbach
1,8/24/2024,15:30,Bundesliga,Matchweek 1,Sat,Home,W,3,1,Stuttgart,2.1,0.4,33,34700,Christian Günter,4-2-3-1,4-2-3-1,,Match Report,,16,5,16.4,1,0,0,2025,Freiburg
2,9/1/2024,17:30,Bundesliga,Matchweek 2,Sun,Away,L,0,2,Bayern Munich,1,1.5,34,75000,Christian Günter,4-2-3-1,4-1-4-1,Christian Dingert,Match Report,,8,3,26.8,0,0,1,2025,Freiburg
3,9/14/2024,15:30,Bundesliga,Matchweek 3,Sat,Home,W,2,1,Bochum,3.7,0.9,54,34100,Christian Günter,4-2-3-1,4/4/2002,Daniel Siebert,Match Report,,26,8,14.4,0,0,0,2025,Freiburg
4,9/21/2024,15:30,Bundesliga,Matchweek 4,Sat,Away,W,3,0,Heidenheim,1.4,0.7,58,15000,Christian Günter,4-2-3-1,3-1-4-2,Benjamin Brand,Match Report,,15,5,16.8,0,0,0,2025,Freiburg
5,9/28/2024,15:30,Bundesliga,Matchweek 5,Sat,Home,L,0,3,St. Pauli,1.2,1.1,73,34700,Christian Günter,4-2-3-1,3/4/2003,Timo Gerach,Match Report,,8,1,16.9,1,0,1,2025,Freiburg
6,10/5/2024,15:30,Bundesliga,Matchweek 6,Sat,Away,W,1,0,Werder Bremen,1,1,42,41200,Christian Günter,4-2-3-1,3/4/2003,Tobias Welz,Match Report,,15,3,20.6,0,0,0,2025,Freiburg
7,10/19/2024,15:30,Bundesliga,Matchweek 7,Sat,Home,W,3,1,Augsburg,0.8,0.6,57,33500,Christian Günter,4-2-3-1,3/5/2002,Bastian Dankert,Match Report,,15,6,19.8,0,0,0,2025,Freiburg
8,10/26/2024,15:30,Bundesliga,Matchweek 8,Sat,Away,L,1,3,RB Leipzig,1.7,1.8,57,45908,Christian Günter,4-2-3-1,4-2-2-2,Sven Jablonski,Match Report,,15,5,18,2,0,0,2025,Freiburg
10,11/3/2024,15:30,Bundesliga,Matchweek 9,Sun,Home,D,0,0,Mainz 05,0.8,0.5,51,34400,Christian Günter,4-2-3-1,3/4/2003,Benjamin Brand,Match Report,,10,2,19.7,0,0,0,2025,Freiburg
11,11/8/2024,20:30,Bundesliga,Matchweek 10,Fri,Away,D,0,0,Union Berlin,1.7,0.7,59,22012,Christian Günter,4-2-3-1,3/4/2003,Tobias Reichel,Match Report,,13,3,19.8,0,0,1,2025,Freiburg
12,11/23/2024,15:30,Bundesliga,Matchweek 11,Sat,Away,L,0,4,Dortmund,0.8,1.3,41,81365,Christian Günter,4-2-3-1,4-1-4-1,Felix Brych,Match Report,,7,2,18.1,0,0,0,2025,Freiburg
13,11/30/2024,15:30,Bundesliga,Matchweek 12,Sat,Home,W,3,1,Gladbach,1.6,1.5,48,34700,Christian Günter,4-2-3-1,4-2-3-1,Robert Hartmann,Match Report,,17,7,16.5,1,0,0,2025,Freiburg
15,12/8/2024,17:30,Bundesliga,Matchweek 13,Sun,Away,D,1,1,Hoffenheim,1,1.4,50,22027,Christian Günter,4/4/2002,4-2-3-1,Sven Jablonski,Match Report,,11,4,15.1,0,0,0,2025,Freiburg
16,12/13/2024,20:30,Bundesliga,Matchweek 14,Fri,Home,W,3,2,Wolfsburg,2.1,1.8,53,32600,Christian Günter,4-2-2-2,4/4/2002,Sascha Stegemann,Match Report,,18,9,14.9,0,0,0,2025,Freiburg
17,12/21/2024,18:30,Bundesliga,Matchweek 15,Sat,Away,L,1,5,Leverkusen,0.7,2.8,33,30210,Christian Günter,4-2-3-1,3/4/2003,Tobias Stieler,Match Report,,8,2,17.7,0,0,0,2025,Freiburg
1,8/24/2024,15:30,Bundesliga,Matchweek 1,Sat,Away,L,1,3,Freiburg,0.4,2.1,67,34700,Atakan Karazor,4-2-3-1,4-2-3-1,,Match Report,,9,2,23.7,1,0,0,2025,Stuttgart
3,8/31/2024,15:30,Bundesliga,Matchweek 2,Sat,Home,D,3,3,Mainz 05,3.8,2.3,63,59000,Atakan Karazor,4-2-3-1,3/4/2003,Timo Gerach,Match Report,,28,11,14.9,2,0,0,2025,Stuttgart
4,9/14/2024,15:30,Bundesliga,Matchweek 3,Sat,Away,W,3,1,Gladbach,2.2,1.6,56,53756,Atakan Karazor,4-2-2-2,4-2-3-1,Felix Brych,Match Report,,12,7,14.3,0,0,0,2025,Stuttgart
6,9/22/2024,17:30,Bundesliga,Matchweek 4,Sun,Home,W,5,1,Dortmund,3.4,0.7,52,60000,Atakan Karazor,4/4/2002,4-2-3-1,Florian Badstübner,Match Report,,17,9,14.8,0,0,0,2025,Stuttgart
7,9/28/2024,15:30,Bundesliga,Matchweek 5,Sat,Away,D,2,2,Wolfsburg,1.8,1.1,69,27135,Atakan Karazor,4-2-3-1,4/4/2002,Sven Jablonski,Match Report,,17,3,18.9,1,0,1,2025,Stuttgart
9,10/6/2024,19:30,Bundesliga,Matchweek 6,Sun,Home,D,1,1,Hoffenheim,1.9,0.9,67,58000,Atakan Karazor,3/5/2002,3-4-1-2,Harm Osmers,Match Report,,19,5,15.1,0,0,1,2025,Stuttgart
10,10/19/2024,18:30,Bundesliga,Matchweek 7,Sat,Away,L,0,4,Bayern Munich,0.5,3.2,35,75000,Atakan Karazor,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,4,1,17.7,0,0,0,2025,Stuttgart
12,10/26/2024,15:30,Bundesliga,Matchweek 8,Sat,Home,W,2,1,Holstein Kiel,1.6,0.5,58,59000,Deniz Undav,4/4/2002,3/5/2002,Robert Hartmann,Match Report,,16,6,17.8,0,0,0,2025,Stuttgart
14,11/1/2024,20:30,Bundesliga,Matchweek 9,Fri,Away,D,0,0,Leverkusen,0.3,2.2,47,30210,Atakan Karazor,4/4/2002,3/4/2003,Daniel Siebert,Match Report,,4,1,20.5,0,0,0,2025,Stuttgart
16,11/10/2024,17:30,Bundesliga,Matchweek 10,Sun,Home,L,2,3,Eint Frankfurt,2.5,1.3,60,60000,Atakan Karazor,4-2-3-1,4/4/2002,Felix Zwayer,Match Report,,21,9,16.6,0,0,1,2025,Stuttgart
17,11/23/2024,15:30,Bundesliga,Matchweek 11,Sat,Home,W,2,0,Bochum,1.7,0.7,58,59000,Atakan Karazor,4/4/2002,5/3/2002,Benjamin Brand,Match Report,,15,4,15.7,0,0,0,2025,Stuttgart
19,11/30/2024,15:30,Bundesliga,Matchweek 12,Sat,Away,D,2,2,Werder Bremen,1.8,1.6,57,42100,Atakan Karazor,4-2-3-1,4/4/2002,Harm Osmers,Match Report,,10,4,17.7,0,0,0,2025,Stuttgart
21,12/6/2024,20:30,Bundesliga,Matchweek 13,Fri,Home,W,3,2,Union Berlin,2.1,1.4,64,59000,Atakan Karazor,4-2-3-1,3/4/2003,Tobias Welz,Match Report,,7,5,17.7,0,0,0,2025,Stuttgart
23,12/15/2024,15:30,Bundesliga,Matchweek 14,Sun,Away,W,3,1,Heidenheim,2.3,1,66,15000,Atakan Karazor,3/4/2003,4-2-3-1,Christian Dingert,Match Report,,17,6,18.1,2,1,1,2025,Stuttgart
24,12/21/2024,15:30,Bundesliga,Matchweek 15,Sat,Home,L,0,1,St. Pauli,2.1,2.2,72,60000,Angelo Stiller,3/4/2003,3/4/2003,Felix Brych,Match Report,,25,5,14.2,0,0,0,2025,Stuttgart
1,8/25/2024,15:30,Bundesliga,Matchweek 1,Sun,Home,L,2,3,Bayern Munich,1.9,2.4,30,30000,Maximilian Arnold,4-2-3-1,4-2-3-1,,Match Report,,9,1,19.7,0,1,1,2025,Wolfsburg
2,8/31/2024,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2,0,Holstein Kiel,1.3,1.1,46,15034,Maximilian Arnold,4-2-3-1,3-4-1-2,Florian Exner,Match Report,,13,4,18.3,1,0,0,2025,Wolfsburg
3,9/14/2024,15:30,Bundesliga,Matchweek 3,Sat,Home,L,1,2,Eint Frankfurt,1.5,2.5,60,26281,Maximilian Arnold,4-1-4-1,4/4/2002,Harm Osmers,Match Report,,18,4,17.9,0,0,0,2025,Wolfsburg
4,9/22/2024,15:30,Bundesliga,Matchweek 4,Sun,Away,L,3,4,Leverkusen,0.7,1.9,22,29250,Maximilian Arnold,4-1-4-1,3/4/2003,Sascha Stegemann,Match Report,,9,4,22.1,0,0,0,2025,Wolfsburg
5,9/28/2024,15:30,Bundesliga,Matchweek 5,Sat,Home,D,2,2,Stuttgart,1.1,1.8,31,27135,Maximilian Arnold,4/4/2002,4-2-3-1,Sven Jablonski,Match Report,,5,2,14.3,0,0,0,2025,Wolfsburg
6,10/5/2024,15:30,Bundesliga,Matchweek 6,Sat,Away,W,3,1,Bochum,2.4,1.7,42,24630,Maximilian Arnold,3-4-1-2,4-3-1-2,Max Burda,Match Report,,16,4,18.2,0,0,1,2025,Wolfsburg
7,10/20/2024,17:30,Bundesliga,Matchweek 7,Sun,Home,L,2,4,Werder Bremen,1.8,2,43,28917,Maximilian Arnold,3-4-1-2,3/4/2003,Daniel Schlager,Match Report,,14,5,16.3,0,0,0,2025,Wolfsburg
8,10/26/2024,15:30,Bundesliga,Matchweek 8,Sat,Away,D,0,0,St. Pauli,1.1,0.8,46,29546,Kamil Grabara,4-2-3-1,3/4/2003,Tobias Reichel,Match Report,,9,4,17.1,0,0,0,2025,Wolfsburg
10,11/2/2024,15:30,Bundesliga,Matchweek 9,Sat,Home,D,1,1,Augsburg,1.2,0.5,69,22654,Maximilian Arnold,4-2-3-1,3/5/2002,Felix Brych,Match Report,,18,5,17.7,1,0,0,2025,Wolfsburg
11,11/10/2024,19:30,Bundesliga,Matchweek 10,Sun,Away,W,3,1,Heidenheim,1.5,2.4,35,15000,Maximilian Arnold,4/5/2001,4-2-3-1,Harm Osmers,Match Report,,13,6,14.1,1,0,0,2025,Wolfsburg
12,11/23/2024,15:30,Bundesliga,Matchweek 11,Sat,Home,W,1,0,Union Berlin,0.6,0.5,55,23861,Maximilian Arnold,4-2-3-1,3/4/2003,Tobias Stieler,Match Report,,10,5,18.9,1,0,0,2025,Wolfsburg
13,11/30/2024,15:30,Bundesliga,Matchweek 12,Sat,Away,W,5,1,RB Leipzig,2.2,1,37,40000,Maximilian Arnold,4/3/2003,4/4/2002,Martin Petersen,Match Report,,13,8,16.3,1,0,0,2025,Wolfsburg
15,12/8/2024,15:30,Bundesliga,Matchweek 13,Sun,Home,W,4,3,Mainz 05,1.2,2.6,44,20036,Maximilian Arnold,4/4/2002,3/4/2003,Timo Gerach,Match Report,,10,5,19.9,1,0,0,2025,Wolfsburg
16,12/13/2024,20:30,Bundesliga,Matchweek 14,Fri,Away,L,2,3,Freiburg,1.8,2.1,47,32600,Maximilian Arnold,4/4/2002,4-2-2-2,Sascha Stegemann,Match Report,,20,5,18.5,0,0,0,2025,Wolfsburg
17,12/22/2024,17:30,Bundesliga,Matchweek 15,Sun,Home,L,1,3,Dortmund,1.5,2.7,50,28917,Maximilian Arnold,3/5/2002,4-1-3-2,Matthias Jöllenbeck,Match Report,,14,5,15.8,1,0,0,2025,Wolfsburg
1,8/24/2024,15:30,Bundesliga,Matchweek 1,Sat,Away,D,1,1,Mainz 05,0.6,1.2,47,31500,Christopher Trimmel,3/4/2003,3/4/2003,,Match Report,,15,5,19.8,0,0,0,2025,Union Berlin
2,8/30/2024,20:30,Bundesliga,Matchweek 2,Fri,Home,W,1,0,St. Pauli,1.1,0.5,39,22012,Rani Khedira,3/4/2003,3-1-4-2,Bastian Dankert,Match Report,,11,5,21.5,0,0,0,2025,Union Berlin
3,9/14/2024,15:30,Bundesliga,Matchweek 3,Sat,Away,D,0,0,RB Leipzig,0.6,1.3,33,47800,Rani Khedira,3/4/2003,3/4/2003,Sven Jablonski,Match Report,,10,3,12.9,0,0,0,2025,Union Berlin
4,9/21/2024,15:30,Bundesliga,Matchweek 4,Sat,Home,W,2,1,Hoffenheim,1.2,0.4,51,21831,Rani Khedira,3/4/2003,3/5/2002,Matthias Jöllenbeck,Match Report,,12,2,18.3,2,0,0,2025,Union Berlin
5,9/28/2024,15:30,Bundesliga,Matchweek 5,Sat,Away,L,0,1,Gladbach,0.7,0.9,38,53056,Rani Khedira,3/4/2003,4-2-3-1,Daniel Schlager,Match Report,,9,2,19.9,0,0,0,2025,Union Berlin
6,10/5/2024,15:30,Bundesliga,Matchweek 6,Sat,Home,W,2,1,Dortmund,1.5,0.7,33,22012,Christopher Trimmel,3/4/2003,4-2-3-1,Tobias Reichel,Match Report,,13,4,19.1,0,1,1,2025,Union Berlin
7,10/20/2024,15:30,Bundesliga,Matchweek 7,Sun,Away,W,2,0,Holstein Kiel,1.1,1.3,52,15034,Christopher Trimmel,3/4/2003,5/3/2002,Timo Gerach,Match Report,,14,4,14.8,0,0,0,2025,Union Berlin
8,10/27/2024,17:30,Bundesliga,Matchweek 8,Sun,Home,D,1,1,Eint Frankfurt,1.4,1.5,48,22012,Christopher Trimmel,3/4/2003,3/5/2002,Harm Osmers,Match Report,,13,4,14.8,0,0,0,2025,Union Berlin
10,11/2/2024,15:30,Bundesliga,Matchweek 9,Sat,Away,L,0,3,Bayern Munich,0.5,2.5,23,75000,Christopher Trimmel,3/4/2003,4-2-3-1,Matthias Jöllenbeck,Match Report,,8,1,12.7,0,0,0,2025,Union Berlin
11,11/8/2024,20:30,Bundesliga,Matchweek 10,Fri,Home,D,0,0,Freiburg,0.7,1.7,41,22012,Christopher Trimmel,3/4/2003,4-2-3-1,Tobias Reichel,Match Report,,12,6,20.2,0,0,0,2025,Union Berlin
12,11/23/2024,15:30,Bundesliga,Matchweek 11,Sat,Away,L,0,1,Wolfsburg,0.5,0.6,45,23861,Christopher Trimmel,3/4/2003,4-2-3-1,Tobias Stieler,Match Report,,11,4,17.3,1,0,0,2025,Union Berlin
13,11/30/2024,15:30,Bundesliga,Matchweek 12,Sat,Home,L,1,2,Leverkusen,0.7,0.9,38,22012,Christopher Trimmel,3/4/2003,4/5/2001,Christian Dingert,Match Report,,8,2,15.1,0,0,0,2025,Union Berlin
14,12/6/2024,20:30,Bundesliga,Matchweek 13,Fri,Away,L,2,3,Stuttgart,1.4,2.1,36,59000,Rani Khedira,3/4/2003,4-2-3-1,Tobias Welz,Match Report,,14,3,15.3,0,0,0,2025,Union Berlin
15,12/14/2024,15:30,Bundesliga,Matchweek 14,Sat,Home,D,1,1,Bochum,2.5,1,69,22012,Rani Khedira,3/4/2003,3/4/2003,Martin Petersen,Match Report,,22,4,14.5,0,0,0,2025,Union Berlin
16,12/21/2024,15:30,Bundesliga,Matchweek 15,Sat,Away,L,1,4,Werder Bremen,1.3,2.3,46,42100,Christopher Trimmel,3/4/2003,3/5/2002,Florian Exner,Match Report,,16,4,17.5,0,0,0,2025,Union Berlin
1,8/24/2024,15:30,Bundesliga,Matchweek 1,Sat,Home,D,2,2,Werder Bremen,1,1.4,46,30660,Jeffrey Gouweleeuw,4-1-2-1-2◆,3/5/2002,Sascha Stegemann,Match Report,,11,3,15.9,0,0,0,2025,Augsburg
2,9/1/2024,15:30,Bundesliga,Matchweek 2,Sun,Away,L,0,4,Heidenheim,0.7,3.1,64,15000,Jeffrey Gouweleeuw,4-1-2-1-2◆,4-2-3-1,Martin Petersen,Match Report,,15,0,19.6,2,0,0,2025,Augsburg
3,9/15/2024,15:30,Bundesliga,Matchweek 3,Sun,Home,W,3,1,St. Pauli,2.7,0.5,44,30660,Jeffrey Gouweleeuw,3/4/2003,3/5/2002,Felix Zwayer,Match Report,,18,8,15,0,0,0,2025,Augsburg
4,9/20/2024,20:30,Bundesliga,Matchweek 4,Fri,Home,L,2,3,Mainz 05,2.4,1,73,28913,Jeffrey Gouweleeuw,3/4/2003,3/4/2003,Sören Storks,Match Report,,29,7,15.5,0,0,0,2025,Augsburg
5,9/28/2024,15:30,Bundesliga,Matchweek 5,Sat,Away,L,0,4,RB Leipzig,1.1,3,41,44407,Jeffrey Gouweleeuw,3/4/2003,4/4/2002,Daniel Siebert,Match Report,,6,0,17.2,0,0,1,2025,Augsburg
6,10/4/2024,20:30,Bundesliga,Matchweek 6,Fri,Home,W,2,1,Gladbach,1.3,0.5,35,30660,Jeffrey Gouweleeuw,3/5/2002,4-2-3-1,Florian Badstübner,Match Report,,15,5,16,0,0,0,2025,Augsburg
7,10/19/2024,15:30,Bundesliga,Matchweek 7,Sat,Away,L,1,3,Freiburg,0.6,0.8,43,33500,Jeffrey Gouweleeuw,3/5/2002,4-2-3-1,Bastian Dankert,Match Report,,9,3,20.7,0,0,0,2025,Augsburg
8,10/26/2024,15:30,Bundesliga,Matchweek 8,Sat,Home,W,2,1,Dortmund,0.6,1,25,30660,Jeffrey Gouweleeuw,5/3/2002,4-2-3-1,Tobias Welz,Match Report,,12,4,22.4,1,0,0,2025,Augsburg
10,11/2/2024,15:30,Bundesliga,Matchweek 9,Sat,Away,D,1,1,Wolfsburg,0.5,1.2,31,22654,Jeffrey Gouweleeuw,3/5/2002,4-2-3-1,Felix Brych,Match Report,,3,1,17.8,0,0,0,2025,Augsburg
11,11/10/2024,15:30,Bundesliga,Matchweek 10,Sun,Home,D,0,0,Hoffenheim,0.9,0.5,44,28300,Jeffrey Gouweleeuw,3/5/2002,3-4-1-2,Martin Petersen,Match Report,,16,4,20.4,1,0,0,2025,Augsburg
12,11/22/2024,20:30,Bundesliga,Matchweek 11,Fri,Away,L,0,3,Bayern Munich,0.1,3.7,20,75000,Jeffrey Gouweleeuw,3/5/2002,4-2-3-1,Daniel Schlager,Match Report,,2,1,10.2,0,0,0,2025,Augsburg
13,11/30/2024,15:30,Bundesliga,Matchweek 12,Sat,Home,W,1,0,Bochum,1.9,0.3,52,29556,Jeffrey Gouweleeuw,3/5/2002,3/5/2002,Tobias Reichel,Match Report,,15,3,17.3,0,1,1,2025,Augsburg
15,12/7/2024,15:30,Bundesliga,Matchweek 13,Sat,Away,D,2,2,Eint Frankfurt,0.6,1.7,34,57000,Jeffrey Gouweleeuw,3/5/2002,4-2-2-2,Bastian Dankert,Match Report,,8,3,16.8,0,0,0,2025,Augsburg
16,12/14/2024,15:30,Bundesliga,Matchweek 14,Sat,Home,L,0,2,Leverkusen,0.6,0.8,35,29310,Jeffrey Gouweleeuw,3-1-4-2,3/4/2003,Felix Zwayer,Match Report,,8,4,16.1,0,0,0,2025,Augsburg
17,12/21/2024,15:30,Bundesliga,Matchweek 15,Sat,Away,L,1,5,Holstein Kiel,1.5,1.7,63,14830,Kristijan Jakić,3/5/2002,3-4-1-2,Tobias Welz,Match Report,,17,4,14.7,1,0,0,2025,Augsburg
1,8/25/2024,17:30,Bundesliga,Matchweek 1,Sun,Home,L,0,2,Heidenheim,1.2,1.1,60,29157,Jackson Irvine,3/5/2002,4-2-3-1,,Match Report,,11,3,18.5,1,0,0,2025,St Pauli
2,8/30/2024,20:30,Bundesliga,Matchweek 2,Fri,Away,L,0,1,Union Berlin,0.5,1.1,61,22012,Jackson Irvine,3-1-4-2,3/4/2003,Bastian Dankert,Match Report,,8,1,16,0,0,0,2025,St Pauli
3,9/15/2024,15:30,Bundesliga,Matchweek 3,Sun,Away,L,1,3,Augsburg,0.5,2.7,56,30660,Jackson Irvine,3/5/2002,3/4/2003,Felix Zwayer,Match Report,,11,3,19.9,0,0,0,2025,St Pauli
4,9/22/2024,19:30,Bundesliga,Matchweek 4,Sun,Home,D,0,0,RB Leipzig,1.4,0.7,31,29251,Jackson Irvine,3/4/2003,4/4/2002,Robert Hartmann,Match Report,,17,4,14,0,0,0,2025,St Pauli
5,9/28/2024,15:30,Bundesliga,Matchweek 5,Sat,Away,W,3,0,Freiburg,1.1,1.2,27,34700,Jackson Irvine,3/4/2003,4-2-3-1,Timo Gerach,Match Report,,10,4,17.6,2,0,0,2025,St Pauli
6,10/5/2024,18:30,Bundesliga,Matchweek 6,Sat,Home,L,0,3,Mainz 05,1,1.1,56,29546,Jackson Irvine,3/4/2003,3/4/2003,Christian Dingert,Match Report,,19,4,16.5,0,0,0,2025,St Pauli
7,10/18/2024,20:30,Bundesliga,Matchweek 7,Fri,Away,L,1,2,Dortmund,0.6,2.6,26,81365,Jackson Irvine,3/4/2003,4-2-3-1,Matthias Jöllenbeck,Match Report,,10,3,19.7,0,0,0,2025,St Pauli
8,10/26/2024,15:30,Bundesliga,Matchweek 8,Sat,Home,D,0,0,Wolfsburg,0.8,1.1,54,29546,Jackson Irvine,3/4/2003,4-2-3-1,Tobias Reichel,Match Report,,14,5,18.7,1,0,0,2025,St Pauli
10,11/2/2024,15:30,Bundesliga,Matchweek 9,Sat,Away,W,2,0,Hoffenheim,0.9,0.7,33,26199,Jackson Irvine,3/4/2003,3-4-1-2,Sascha Stegemann,Match Report,,7,3,15.7,0,0,0,2025,St Pauli
11,11/9/2024,15:30,Bundesliga,Matchweek 10,Sat,Home,L,0,1,Bayern Munich,0.1,0.8,25,29546,Jackson Irvine,5/4/2001,4-2-3-1,Timo Gerach,Match Report,,3,0,21.8,0,0,0,2025,St Pauli
12,11/24/2024,17:30,Bundesliga,Matchweek 11,Sun,Away,L,0,2,Gladbach,1.1,2.3,52,54042,Jackson Irvine,3/4/2003,4-2-3-1,Robin Braun,Match Report,,15,3,16.2,0,0,0,2025,St Pauli
13,11/29/2024,20:30,Bundesliga,Matchweek 12,Fri,Home,W,3,1,Holstein Kiel,1.3,1.2,49,29546,Jackson Irvine,3/4/2003,3/5/2002,Felix Zwayer,Match Report,,11,3,14.4,0,0,0,2025,St Pauli
14,12/7/2024,15:30,Bundesliga,Matchweek 13,Sat,Away,L,1,2,Leverkusen,1.8,0.9,38,30210,Jackson Irvine,3/4/2003,3/5/2002,Matthias Jöllenbeck,Match Report,,12,4,15.3,0,0,0,2025,St Pauli
15,12/14/2024,18:30,Bundesliga,Matchweek 14,Sat,Home,L,0,2,Werder Bremen,0.6,1,56,29546,Jackson Irvine,3/4/2003,3/5/2002,Robert Hartmann,Match Report,,15,4,23.9,1,0,0,2025,St Pauli
16,12/21/2024,15:30,Bundesliga,Matchweek 15,Sat,Away,W,1,0,Stuttgart,2.2,2.1,28,60000,Jackson Irvine,3/4/2003,3/4/2003,Felix Brych,Match Report,,10,4,19.5,0,0,1,2025,St Pauli
1,8/24/2024,15:30,Bundesliga,Matchweek 1,Sat,Home,W,3,2,Holstein Kiel,3.5,1.7,54,18503,Oliver Baumann,3-4-1-2,3-4-1-2,,Match Report,,20,7,17,0,1,1,2025,Hoffenheim
2,8/31/2024,15:30,Bundesliga,Matchweek 2,Sat,Away,L,1,3,Eint Frankfurt,1,2.4,50,57100,Oliver Baumann,3-4-1-2,3/4/2003,Florian Badstübner,Match Report,,11,3,21.8,0,0,0,2025,Hoffenheim
3,9/14/2024,15:30,Bundesliga,Matchweek 3,Sat,Home,L,1,4,Leverkusen,0.9,3.5,40,30150,Oliver Baumann,3-4-1-2,3/4/2003,Daniel Schlager,Match Report,,15,5,18.4,1,0,0,2025,Hoffenheim
4,9/21/2024,15:30,Bundesliga,Matchweek 4,Sat,Away,L,1,2,Union Berlin,0.4,1.2,49,21831,Oliver Baumann,3/5/2002,3/4/2003,Matthias Jöllenbeck,Match Report,,7,3,20.5,1,0,0,2025,Hoffenheim
6,9/29/2024,17:30,Bundesliga,Matchweek 5,Sun,Home,L,3,4,Werder Bremen,1.2,2.9,37,26018,Oliver Baumann,3-4-1-2,3/4/2003,Tobias Reichel,Match Report,,10,4,17.2,2,0,0,2025,Hoffenheim
8,10/6/2024,19:30,Bundesliga,Matchweek 6,Sun,Away,D,1,1,Stuttgart,0.9,1.9,33,58000,Oliver Baumann,3-4-1-2,3/5/2002,Harm Osmers,Match Report,,7,4,15.5,0,0,0,2025,Hoffenheim
9,10/19/2024,15:30,Bundesliga,Matchweek 7,Sat,Home,W,3,1,Bochum,2.5,2.7,50,19281,Oliver Baumann,3-4-1-2,4-1-4-1,Sören Storks,Match Report,,12,7,15.9,0,0,0,2025,Hoffenheim
11,10/27/2024,19:30,Bundesliga,Matchweek 8,Sun,Away,D,0,0,Heidenheim,0.7,1.5,53,15000,Oliver Baumann,3-4-1-2,4/3/2003,Christian Dingert,Match Report,,12,4,21.9,0,0,0,2025,Hoffenheim
13,11/2/2024,15:30,Bundesliga,Matchweek 9,Sat,Home,L,0,2,St. Pauli,0.7,0.9,67,26199,Oliver Baumann,3-4-1-2,3/4/2003,Sascha Stegemann,Match Report,,12,6,17.7,0,0,0,2025,Hoffenheim
15,11/10/2024,15:30,Bundesliga,Matchweek 10,Sun,Away,D,0,0,Augsburg,0.5,0.9,56,28300,Oliver Baumann,3-4-1-2,3/5/2002,Martin Petersen,Match Report,,11,2,20.5,0,0,0,2025,Hoffenheim
16,11/23/2024,15:30,Bundesliga,Matchweek 11,Sat,Home,W,4,3,RB Leipzig,2,1.6,59,28023,Oliver Baumann,4-2-3-1,3/4/2003,Frank Willenborg,Match Report,,20,7,15.3,1,0,0,2025,Hoffenheim
18,12/1/2024,15:30,Bundesliga,Matchweek 12,Sun,Away,L,0,2,Mainz 05,0.4,2.2,48,30400,Oliver Baumann,4-2-3-1,3/4/2003,Daniel Siebert,Match Report,,10,2,21.1,0,0,0,2025,Hoffenheim
20,12/8/2024,17:30,Bundesliga,Matchweek 13,Sun,Home,D,1,1,Freiburg,1.4,1,50,22027,Oliver Baumann,4-2-3-1,4/4/2002,Sven Jablonski,Match Report,,15,5,17.2,0,0,0,2025,Hoffenheim
22,12/15/2024,17:30,Bundesliga,Matchweek 14,Sun,Away,D,1,1,Dortmund,1,0.5,46,81365,Oliver Baumann,4/4/2002,4-2-3-1,Harm Osmers,Match Report,,12,1,13.4,0,0,0,2025,Hoffenheim
